Cidade,Estado,ID,Latitude,Longitude,Amazonia,População,População com acesso à água,População sem acesso à água,População com coleta de esgoto,População sem coleta de esgoto,Parcela da população sem acesso à água,Parcela da população com acesso à água,Parcela da população sem coleta de esgoto,Parcela da população com coleta de esgoto,Densidade demográfica,Área do município,Receita direta e indireta total,Parcela das moradias sem banheiro,Incidência de internações por diarreia,Taxa de óbitos por doenças de veiculação hídrica,Consumo per capita de água,Perdas na distribuição,Índice de esgoto tratado referido à água consumida,Tarifa de água,Custo com energia elétrica,Incidência de internações totais por doenças de veiculação hídrica,Moradias sem banheiro
Fundão,Espírito Santo,320220,-19.9532531,-40.3779176,Não,,,,,,,,,,,,,,,,,,,,,,
Guarapari,Espírito Santo,320240,-20.6718755,-40.4984617,Não,,,,,,,,,,,,,,,,,,,,,,
Linhares,Espírito Santo,320320,-19.341076,-39.9483354,Não,,,,,,,,,,,,,,,,,,,,,,
São Mateus,Espírito Santo,320490,-18.7146049,-39.8539499,Não,,,,,,,,,,,,,,,,,,,,,,
Serra,Espírito Santo,320500,-20.1252961,-40.3064477,Não,,,,,,,,,,,,,,,,,,,,,,
Viana,Espírito Santo,320510,-20.3914471,-40.4966587,Não,,,,,,,,,,,,,,,,,,,,,,
Vila Velha,Espírito Santo,320520,-20.3297037,-40.2920174,Não,,,,,,,,,,,,,,,,,,,,,,
Vitória,Espírito Santo,320530,-20.3200917,-40.3376682,Não,,,,,,,,,,,,,,,,,,,,,,
Abadia de Goiás,Goiás,520005,-16.7584,-49.4383,Não,,,,,,,,,,,,,,,,,,,,,,
Águas Lindas de Goiás,Goiás,520025,-15.7392283,-48.2793357,Não,,,,,,,,,,,,,,,,,,,,,,
Anápolis,Goiás,520110,-16.3332828,-48.9525756,Não,,,,,,,,,,,,,,,,,,,,,,
Aparecida de Goiânia,Goiás,520140,-16.8226769,-49.2452546,Não,,,,,,,,,,,,,,,,,,,,,,
Aragoiânia,Goiás,520180,-16.9146388,-49.4499148,Não,,,,,,,,,,,,,,,,,,,,,,
Bela Vista de Goiás,Goiás,520330,-16.9692949,-48.9513071,Não,,,,,,,,,,,,,,,,,,,,,,
Bonfinópolis,Goiás,520355,-16.6172709,-48.9615701,Não,,,,,,,,,,,,,,,,,,,,,,
Brazabrantes,Goiás,520360,-16.4291635,-49.3858216,Não,,,,,,,,,,,,,,,,,,,,,,
Caldas Novas,Goiás,520450,-17.745,-48.625,Não,,,,,,,,,,,,,,,,,,,,,,
Caldazinha,Goiás,520455,-16.7116649,-49.0012601,Não,,,,,,,,,,,,,,,,,,,,,,
Catalão,Goiás,520510,-18.1702546,-47.9447082,Não,,,,,,,,,,,,,,,,,,,,,,
Caturaí,Goiás,520520,-16.4473559,-49.4919149,Não,,,,,,,,,,,,,,,,,,,,,,
Cidade Ocidental,Goiás,520549,-16.1000758,-47.9445014,Não,,,,,,,,,,,,,,,,,,,,,,
Cristalina,Goiás,520620,-16.7680599,-47.6133427,Não,,,,,,,,,,,,,,,,,,,,,,
Formosa,Goiás,520800,-15.5492443,-47.3301212,Não,,,,,,,,,,,,,,,,,,,,,,
Goianápolis,Goiás,520840,-16.5071038,-49.0213217,Não,,,,,,,,,,,,,,,,,,,,,,
Goianésia,Goiás,520860,-15.3118269,-49.1162001,Não,,,,,,,,,,,,,,,,,,,,,,
Goiânia,Goiás,520870,-16.680882,-49.2532691,Não,,,,,,,,,,,,,,,,,,,,,,
Goianira,Goiás,520880,-16.5001973,-49.4254788,Não,,,,,,,,,,,,,,,,,,,,,,
Guapó,Goiás,520920,-16.8308602,-49.5343721,Não,,,,,,,,,,,,,,,,,,,,,,
Hidrolândia,Goiás,520970,-16.9671342,-49.22826,Não,,,,,,,,,,,,,,,,,,,,,,
Inhumas,Goiás,521000,-16.3610569,-49.500111,Não,,,,,,,,,,,,,,,,,,,,,,
Itumbiara,Goiás,521150,-18.4135862,-49.2172596,Não,,,,,,,,,,,,,,,,,,,,,,
Jataí,Goiás,521190,-17.8856178,-51.7202967,Não,,,,,,,,,,,,,,,,,,,,,,
Luziânia,Goiás,521250,-16.2535456,-47.9500276,Não,,,,,,,,,,,,,,,,,,,,,,
Mineiros,Goiás,521310,-17.5653879,-52.5536721,Não,,,,,,,,,,,,,,,,,,,,,,
Nerópolis,Goiás,521450,-16.4069816,-49.219438,Não,,,,,,,,,,,,,,,,,,,,,,
Nova Veneza,Goiás,521500,-16.3709074,-49.3212061,Não,,,,,,,,,,,,,,,,,,,,,,
Novo Gama,Goiás,521523,-16.0496528,-48.0304615,Não,,,,,,,,,,,,,,,,,,,,,,
Planaltina,Goiás,521760,-15.4571536,-47.6089024,Não,,,,,,,,,,,,,,,,,,,,,,
Rio Verde,Goiás,521880,-17.7921255,-50.9191219,Não,,,,,,,,,,,,,,,,,,,,,,
